seq,timestamp_ms,px_m,py_m,d1_m,d2_m,anchor1_id,anchor2_id,valid,reason_code
1,-576451002158,2.1062882117071315,2.794686988002854,3.776327250496383,3.399779264974004,1,2,1,
2,-576451002020,2.1066351244025467,2.7891816616322562,3.772089282268521,3.395541296746142,1,2,1,
3,-576451001894,2.0787830575167376,2.809369186823899,3.805902858554654,3.395541296746142,1,2,1,
4,-576451001714,2.209267883297994,2.865875841087638,3.759375377584935,3.518262036280614,1,2,1,
5,-576451001612,2.171258396087255,2.8203271500139153,3.750899441129211,3.459020650627309,1,2,1,
6,-576451001503,2.0856469586482267,2.75738685672272,3.7636133458127974,3.3574897522321465,1,2,1,
7,-576451001360,2.153931120441427,2.8331979473167905,3.772089282268521,3.459020650627309,1,2,1,
8,-576451001202,2.196095900669915,2.8598486931039884,3.7636133458127974,3.5055481315970285,1,2,1,
9,-576451001100,2.1028071388608347,2.7972281694601295,3.780565218724245,3.399779264974004,1,2,1,
10,-576451000893,2.1672551265926394,2.8338801739674304,3.7636133458127974,3.467496587083033,1,2,1,
11,-576451000838,2.1574043844291575,2.8306314139773807,3.767851314040659,3.459020650627309,1,2,1,
12,-576451000726,2.207495512784994,2.909318768689938,3.793188953871068,3.5520756125667474,1,2,1,
13,-576451000596,2.3284349167631415,2.9560154289740406,3.750899441129211,3.6620824474176343,1,2,1,
14,-576451000464,2.0101350075099162,2.6763148234300074,3.759375377584935,3.24748291738126,1,2,1,
15,-576451000332,2.025252635298688,2.64944856763594,3.729799769526664,3.234769012697674,1,2,1,
16,-576451000203,2.053590468687073,2.702166809440801,3.746661472901349,3.294010398350979,1,2,1,
17,-576451000072,2.037155812033639,2.703707606388775,3.759375377584935,3.285534461895255,1,2,1,
18,-576450999942,2.021988338699279,2.7303736891605195,3.788950985643206,3.298248366578841,1,2,1,
19,-576450999810,2.0147352227053728,2.6991528134907354,3.772089282268521,3.26867275852057,1,2,1,
20,-576450999681,2.0128899052929046,2.721252311282078,3.788950985643206,3.285534461895255,1,2,1,
21,-576450999551,2.0201800064306505,2.752491696716284,3.805902858554654,3.3152002394902893,1,2,1,
22,-576450999421,1.9868856087697484,2.7551996205562372,3.8313306679218266,3.298248366578841,1,2,1,
23,-576450999291,1.9361379561976841,2.7337075331929825,3.8524303395243735,3.2517208856091218,1,2,1,
24,-576450999163,1.9350310920325238,2.7447252568444975,3.8609062759800974,3.260196822064846,1,2,1,
