seq,timestamp_ms,px_m,py_m,d1_m,d2_m,anchor1_id,anchor2_id,valid,reason_code
1,-576450930035,2.079539187630164,2.7983879565148313,3.7974269220989303,3.3870653602904177,1,2,1,
2,-576450929919,2.069025938583076,2.8059297175483797,3.8101408267825163,3.3870653602904177,1,2,1,
3,-576450929789,2.108810544431147,2.8085847511979662,3.784713017415344,3.41249316965759,1,2,1,
4,-576450929656,2.1195108688429207,2.795501660662055,3.767851314040659,3.4082552014297276,1,2,1,
5,-576450929522,2.1640624830754818,2.8309721909855385,3.7636133458127974,3.4632586188551717,1,2,1,
6,-576450929391,2.1028071388608347,2.7972281694601295,3.780565218724245,3.399779264974004,1,2,1,
7,-576450929240,2.14899850309951,2.8629775312812598,3.7974269220989303,3.480120322229857,1,2,1,
8,-576450929128,2.104974916176796,2.816609342516189,3.793188953871068,3.416731137885452,1,2,1,
9,-576450928996,2.196095900669915,2.8598486931039884,3.7636133458127974,3.5055481315970285,1,2,1,
10,-576450928865,2.1028071388608347,2.7972281694601295,3.780565218724245,3.399779264974004,1,2,1,
11,-576450928734,2.140607114290214,2.8324775703688307,3.780565218724245,3.4505447141715853,1,2,1,
12,-576450928598,2.335116441985162,2.966913217801317,3.7551374093570735,3.674796352101221,1,2,1,
13,-576450928473,1.9653765956841376,2.703112880463792,3.8101408267825163,3.2432449491533974,1,2,1,
14,-576450928341,2.0555843368193014,2.763524529450804,3.788950985643206,3.344775847548561,1,2,1,
15,-576450928211,2.092777296337158,2.799279786618968,3.788950985643206,3.395541296746142,1,2,1,
16,-576450928080,2.10531357071264,2.863226060188346,3.827092699693964,3.4547826823994474,1,2,1,
17,-576450927946,2.1282421024292004,2.8152683087042005,3.776327250496383,3.4293548730322754,1,2,1,
18,-576450927782,2.1175301478025403,2.8283325758916478,3.793188953871068,3.4335928412601366,1,2,1,
19,-576450927679,2.1437880445195243,2.83540011698251,3.780565218724245,3.4547826823994474,1,2,1,
20,-576450927476,2.1285617671926,2.809775890948647,3.772089282268521,3.425116904804413,1,2,1,
21,-576450927373,2.0934280849838864,2.7883309195341472,3.780565218724245,3.3870653602904177,1,2,1,
22,-576450927271,2.038939256349418,2.7650343749104236,3.8016648903267924,3.3362999110928366,1,2,1,
23,-576450927160,2.020929868600608,2.7829876990382663,3.827092699693964,3.3405378793206983,1,2,1,
24,-576450927030,2.0253425216591614,2.7695023378148163,3.8143787950103785,3.3320619428649745,1,2,1,
25,-576450926861,1.9908786164556136,2.7110359933500154,3.7974269220989303,3.264434790292708,1,2,1,
26,-576450926758,1.9492280288837902,2.735002610015919,3.843954403068649,3.260196822064846,1,2,1,
27,-576450926637,1.9005321940222517,2.69654482754062,3.8524303395243735,3.2009554364115407,1,2,1,
28,-576450926451,1.9170681996911099,2.6955080598659995,3.8397164348407875,3.209431372867265,1,2,1,
29,-576450926369,1.8889212750427986,2.65325394248262,3.8313306679218266,3.1586659236696835,1,2,1,
30,-576450926144,1.9011347356593133,2.6601708304473046,3.827092699693964,3.171289658816507,1,2,1,
31,-576450926042,1.916446205547524,2.639301877289059,3.8016648903267924,3.162903891897546,1,2,1,
32,-576450925940,1.90269110692276,2.5868702094416567,3.776327250496383,3.1121384426999645,1,2,1,
33,-576450925851,1.9470538026313493,2.5914089452342752,3.746661472901349,3.1417140507582353,1,2,1,
34,-576450925716,1.979455923489767,2.551656920082049,3.6958960237037677,3.1290001460746497,1,2,1,
35,-576450925530,1.9859582133138383,2.514930540664453,3.6663204156454965,3.1036625062442402,1,2,1,
36,-576450925408,1.981299597825068,2.497140036277646,3.6578444791897726,3.086710633332792,1,2,1,
37,-576450925324,1.9962087920134954,2.4694726914839813,3.628268871131502,3.073996728649206,1,2,1,
38,-576450925120,1.9957963146002977,2.4049700003614984,3.5858891888528808,3.0232312794516245,1,2,1,
39,-576450925039,2.0467183511092446,2.3796460723741464,3.530885771427438,3.035945184135211,1,2,1,
40,-576450924915,2.010225120702353,2.2649184623775116,3.484358290457718,2.9248630406812355,1,2,1,
41,-576450924799,2.089776510579826,2.2676923021140993,3.425116904804413,2.9794915185164337,1,2,1,
42,-576450924608,2.1472903052135264,2.314681621575725,3.41249316965759,3.0528970570466587,1,2,1,
43,-576450924506,2.1858084446445205,2.255984200606022,3.344775847548561,3.035945184135211,1,2,1,
44,-576450924403,2.212820362128663,2.2419147056568316,3.3152002394902893,3.0444211205909353,1,2,1,
45,-576450924199,2.204945842692965,2.220053079623702,3.3067243030345654,3.0232312794516245,1,2,1,
46,-576450924096,2.215124505304905,2.186470536894838,3.277058525439531,3.0063695760769393,1,2,1,
47,-576450923994,2.2407297981425316,2.1967474407413006,3.264434790292708,3.031707215907349,1,2,1,
48,-576450923892,2.2304832808218666,2.1524093259659716,3.2432449491533974,2.993172895736261,1,2,1,
49,-576450923789,2.2304832808218666,2.1524093259659716,-1.0,-1.0,1,2,0,1
50,-576450923685,2.2452677566916606,2.150147719315387,3.230531044469812,3.002131607849078,1,2,1,
51,-576450923481,2.233105359788529,2.168518244434653,3.2517208856091218,3.0063695760769393,1,2,1,
52,-576450923380,2.1830988403306764,2.1355287470446638,3.26867275852057,2.9476653360476144,1,2,1,
53,-576450923277,2.1330518990479166,2.121043151327003,3.298248366578841,2.9021577763589677,1,2,1,
