seq,timestamp_ms,px_m,py_m,d1_m,d2_m,anchor1_id,anchor2_id,valid,reason_code
1,-576450821185,2.224846043911564,2.896448743094596,3.772089282268521,3.5520756125667474,1,2,1,
2,-576450821084,2.3344518547424506,3.0152089997566875,3.793188953871068,3.712847896615216,1,2,1,
3,-576450820879,2.0736918811072234,2.7869304164350566,3.793188953871068,3.3743514556068317,1,2,1,
4,-576450820827,2.1628874004532332,2.852808061614021,3.780565218724245,3.480120322229857,1,2,1,
5,-576450820697,2.233730308148096,2.93197783593528,3.793188953871068,3.5858891888528808,1,2,1,
6,-576450820566,2.2944079817104366,2.949970787138978,3.767851314040659,3.6366546380504623,1,2,1,
7,-576450820434,2.2777754555095937,2.936092822621297,3.767851314040659,3.615554966447915,1,2,1,
8,-576450820304,2.264170828887808,2.935720664236312,3.776327250496383,3.607079029992191,1,2,1,
9,-576450820172,2.26795204435109,2.922268817190368,3.7636133458127974,3.598603093536467,1,2,1,
10,-576450820041,2.260689756041512,2.9383280469411153,3.780565218724245,3.607079029992191,1,2,1,
11,-576450819908,2.270676904010998,2.9467331027075843,3.780565218724245,3.6197929346757776,1,2,1,
12,-576450819779,2.2976434078037773,2.958150676518738,3.772089282268521,3.6451305745061857,1,2,1,
13,-576450819648,2.2002684474119234,2.919884794508325,3.805902858554654,3.55631358079461,1,2,1,
14,-576450819518,2.016215698155899,2.76049578730534,3.8143787950103785,3.319438207718152,1,2,1,
15,-576450819388,2.0143263488912786,2.7824442769613174,3.8313306679218266,3.3362999110928366,1,2,1,
16,-576450819257,2.0916899543184098,2.8157502858971055,3.8016648903267924,3.4082552014297276,1,2,1,
18,-576450818996,2.1254398901747455,2.8644494724051093,3.8143787950103785,3.467496587083033,1,2,1,
19,-576450818867,2.1008203400610466,2.882004687183706,3.843954403068649,3.467496587083033,1,2,1,
20,-576450818735,2.162401623345597,2.9989733414922,3.890481884038369,3.598603093536467,1,2,1,
21,-576450818604,2.2752558419227493,3.032717086942893,3.843954403068649,3.691658055475906,1,2,1,
22,-576450818421,2.1851505293980322,3.02949731099141,3.8989578204940925,3.6366546380504623,1,2,1,
23,-576450818319,2.236430462969175,3.050249222775886,3.882096117119408,3.6831821190201817,1,2,1,
24,-576450818114,1.9381121141204498,2.8140575013524494,3.9074337569498168,3.319438207718152,1,2,1,
25,-576450818012,1.8981892207753779,2.687885684392973,3.848192371296512,3.192479499955817,1,2,1,
27,-576450817807,2.2039989052945304,2.9118926890976975,3.7974269220989303,3.5520756125667474,1,2,1,
28,-576450817602,1.9391220745574875,2.638745971507711,3.784713017415344,3.1755276270443686,1,2,1,
29,-576450817558,1.8734125026243422,2.534992663260762,3.7636133458127974,3.0528970570466587,1,2,1,
30,-576450817397,1.9716328400050296,2.636293848319028,3.759375377584935,3.192479499955817,1,2,1,
31,-576450817295,1.9201541404054758,2.542954359609202,3.733947568217763,3.086710633332792,1,2,1,
32,-576450817090,1.9025357668441218,2.4718144896877403,3.70013399193163,3.0189933112237624,1,2,1,
33,-576450816988,2.0671621478645457,2.6498377646712235,3.70013399193163,3.260196822064846,1,2,1,
34,-576450816885,2.071611967059948,2.5877976446597923,3.653606510961911,3.2136693410951267,1,2,1,
35,-576450816746,2.0413110205644167,2.5683766124851353,3.6620824474176343,3.179765595272231,1,2,1,
36,-576450816578,1.8673641049802416,2.3976514682560706,3.6790343203290825,2.938544417901063,1,2,1,
37,-576450816476,1.9610001961337966,2.3709681338677524,3.5901271570807434,2.9749310594431573,1,2,1,
38,-576450816373,2.0360063915335584,2.3995487250621936,3.5520756125667474,3.0444211205909353,1,2,1,
39,-576450816168,2.088256963042859,2.4386983083126053,3.539361707883162,3.107900474472102,1,2,1,
40,-576450816066,2.108805113226846,2.4047572951098117,3.5013101633691663,3.0951865697885164,1,2,1,
41,-576450815964,2.1393063496977893,2.3501490168744064,3.442068777715861,3.073996728649206,1,2,1,
42,-576450815856,2.2070932112795663,2.38034876696843,3.41249316965759,3.1417140507582353,1,2,1,
43,-576450815737,2.218702259173081,2.392705947046478,3.41249316965759,3.1586659236696835,1,2,1,
44,-576450815563,2.198456938221071,2.302111748446269,3.365965688687871,3.0782346968770686,1,2,1,
45,-576450815422,2.245953140808897,2.303950044695621,3.3320619428649745,3.1121384426999645,1,2,1,
47,-576450815144,2.272627255696949,2.3017399321275813,3.3109622712624276,3.1290001460746497,1,2,1,
48,-576450815042,2.2493533628051283,2.288973218791275,3.319438207718152,3.1036625062442402,1,2,1,
49,-576450814940,2.2611885353051857,2.2893458422933213,3.3109622712624276,3.1121384426999645,1,2,1,
50,-576450814745,2.2678075896586827,2.2651845794597465,3.2897724301231177,3.0994245380163785,1,2,1,
51,-576450814624,2.252994268033125,2.2677869463287657,3.3024863348067033,3.090948601560654,1,2,1,
52,-576450814523,2.2364750063386816,2.236675355431248,3.294010398350979,3.057135025274521,1,2,1,
53,-576450814367,2.2425367241803156,2.230736331677658,3.285534461895255,3.057135025274521,1,2,1,
54,-576450814222,2.215124505304905,2.186470536894838,3.277058525439531,3.0063695760769393,1,2,1,
55,-576450814120,2.1445353130984914,2.1351960391386147,3.298248366578841,2.9203025816079595,1,2,1,
56,-576450814018,2.1506048397986905,2.129227490954345,3.2897724301231177,2.9203025816079595,1,2,1,
57,-576450813850,2.082971140956137,2.112473452440221,3.3320619428649745,2.861113644699485,1,2,1,
58,-576450813779,2.0745419907458875,2.101732690369908,3.3320619428649745,2.8475292985237695,1,2,1,
59,-576450813649,2.0467554800938146,2.128116023391373,3.370203656915733,2.8475292985237695,1,2,1,
60,-576450813518,2.0417015518941732,2.1078295914160132,3.3617277204600087,2.8292874622306656,1,2,1,
61,-576450813387,2.03552106029432,2.0507970339227324,3.3320619428649745,2.783779902542019,1,2,1,
62,-576450813258,2.0428016499556914,2.0181774678115882,3.3067243030345654,2.7655380662489155,1,2,1,
63,-576450813125,2.023777722526206,1.9922306603059303,3.3067243030345654,2.7337118837800967,1,2,1,
64,-576450812992,2.0095666661632654,1.9870392624045143,3.3152002394902893,2.720030506560269,1,2,1,
65,-576450812767,1.9658871843893864,1.9913718444547719,3.3532517840042853,2.6926677521206135,1,2,1,
66,-576450812735,1.955739798694454,1.9696170153944246,3.3490138157764227,2.669962487798346,1,2,1,
67,-576450812585,1.958389071204512,1.9733988284727886,3.3490138157764227,2.6745229468716216,1,2,1,
68,-576450812380,1.8917259129683237,1.973780126740499,3.404017233201866,2.628918356138863,1,2,1,
69,-576450812277,1.887050240839562,2.033721533624514,3.442068777715861,2.669962487798346,1,2,1,
71,-576450812072,1.7712073204454635,2.0970465170183403,3.573265453706058,2.642599733358691,1,2,1,
72,-576450811868,1.8326450581952516,2.081413495219992,3.514024068052753,2.669962487798346,1,2,1,
73,-576450811797,1.8610690800158283,2.0628856621167198,3.480120322229857,2.6745229468716216,1,2,1,
74,-576450811662,1.9272062992510146,2.089473599636216,3.442068777715861,2.738272342853372,1,2,1,
75,-576450811558,1.920835619688015,2.1375831686588067,3.4758823540019943,2.7700985253221915,1,2,1,
76,-576450811429,1.9373357175154013,2.159370569896694,3.4758823540019943,2.797364248717735,1,2,1,
77,-576450811265,1.9568717789228693,2.2326853336369017,3.5055481315970285,2.865674103772761,1,2,1,
78,-576450811150,1.9750866357852215,2.235117409710911,3.4928342269134425,2.8793554809925888,1,2,1,
79,-576450810982,2.011605374177582,2.299755995389846,3.5055481315970285,2.9522257951208903,1,2,1,
80,-576450810879,2.090568086469045,2.314152925765682,3.4547826823994474,3.014755342995901,1,2,1,
81,-576450810741,2.0837680981406224,2.370526787978042,3.497072195141305,3.0528970570466587,1,2,1,
82,-576450810639,2.1690224625305516,2.3577214988819706,3.425116904804413,3.0994245380163785,1,2,1,
83,-576450810514,2.1369326228398413,2.3917144238094195,3.471734555310895,3.1036625062442402,1,2,1,
84,-576450810332,2.141341093263059,2.42140642975656,3.4885962586855808,3.1290001460746497,1,2,1,
85,-576450810210,2.167443881091695,2.4492630870113294,3.4885962586855808,3.1671418601254073,1,2,1,
86,-576450810024,2.224503742649376,2.4780549543359873,3.467496587083033,3.2262930762419497,1,2,1,
87,-576450809922,2.2120001806393947,2.4833298905119374,3.480120322229857,3.222055108014088,1,2,1,
88,-576450809820,2.2103358968894082,2.5238979607507153,3.5097860998248906,3.2517208856091218,1,2,1,
89,-576450809717,2.2226844139948985,2.6074273832471806,3.5605515490224717,3.32358600640925,1,2,1,
90,-576450809600,2.2725776678543,2.6374258969076627,3.5478376443388857,3.3785894238346943,1,2,1,
91,-576450809410,2.2627542566957963,2.645642602515196,3.5605515490224717,3.3785894238346943,1,2,1,
92,-576450809308,2.261148468331153,2.7018798846877727,3.602841061764329,3.420969106113314,1,2,1,
93,-576450809201,2.254852817024412,2.6960761459039047,3.602841061764329,3.41249316965759,1,2,1,
94,-576450809080,2.143066487959482,2.6122240153688394,3.6197929346757776,3.277058525439531,1,2,1,
96,-576450808796,2.3500187464201514,2.847575494024522,3.653606510961911,3.5901271570807434,1,2,1,
97,-576450808687,2.2832879999069062,2.8518734209192846,3.70013399193163,3.5520756125667474,1,2,1,
98,-576450808558,2.2832879999069062,2.8518734209192846,-1.0,-1.0,1,2,0,2
99,-576450808428,2.1315051426825993,2.760202688016786,3.733947568217763,3.3870653602904177,1,2,1,
100,-576450808298,2.093306668015005,2.741212006793272,3.746661472901349,3.3490138157764227,1,2,1,
101,-576450808167,2.100386326247197,2.7832519643535427,3.772089282268521,3.3870653602904177,1,2,1,
102,-576450808035,2.196095900669915,2.8598486931039884,3.7636133458127974,3.5055481315970285,1,2,1,
103,-576450807905,2.224846043911564,2.896448743094596,3.772089282268521,3.5520756125667474,1,2,1,
