seq,timestamp_ms,px_m,py_m,d1_m,d2_m,anchor1_id,anchor2_id,valid,reason_code
1,-576451254434,1.7183645760365156,3.078276060497623,4.249777135335089,3.4335928412601366,1,2,1,
2,-576451254331,1.7719994339472844,3.1166445554674227,4.239987752857667,3.4928342269134425,1,2,1,
3,-576451254127,1.7899086797739021,3.10681199793557,4.2205131302696035,3.4928342269134425,1,2,1,
4,-576451254024,1.7939152406256889,3.1239631787157167,4.230198370380245,3.5097860998248906,1,2,1,
5,-576451253922,1.7681717267494306,3.099419818414032,4.230198370380245,3.4758823540019943,1,2,1,
6,-576451253827,1.7707392933319954,3.088447431690894,4.2205131302696035,3.467496587083033,1,2,1,
7,-576451253696,1.7926469467696746,3.1294985735416923,4.235093061618955,3.514024068052753,1,2,1,
8,-576451253566,1.714842991762283,3.061035333660542,4.239987752857667,3.416731137885452,1,2,1,
9,-576451253436,1.7042967975220624,3.009046603702697,4.210723747792182,3.365965688687871,1,2,1,
10,-576451253304,1.730511157060763,3.028444907096461,4.205829056553471,3.395541296746142,1,2,1,
11,-576451253172,1.7918577479192623,3.0815933406948397,4.20093436531476,3.471734555310895,1,2,1,
12,-576451253040,1.8332238957648794,3.1407982127087757,4.215618439030893,3.5435996761110236,1,2,1,
13,-576451252911,1.839761123249367,3.146848784074149,4.215618439030893,3.5520756125667474,1,2,1,
14,-576451252780,1.8033579221465836,3.099338079937759,4.205829056553471,3.4928342269134425,1,2,1,
15,-576451252649,1.7726371742311415,3.1307714271466938,4.249777135335089,3.5055481315970285,1,2,1,
16,-576451252517,1.73409465320244,3.0458044491146117,4.215618439030893,3.41249316965759,1,2,1,
17,-576451252384,1.7246804594619478,3.036454830595918,4.215618439030893,3.399779264974004,1,2,1,
18,-576451252257,1.6984284354684842,3.017035427118112,4.2205131302696035,3.370203656915733,1,2,1,
19,-576451252122,1.706402405916073,2.969264993342701,4.181355600359916,3.3320619428649745,1,2,1,
20,-576451251991,1.6714855422903554,3.031393278227575,4.249777135335089,3.370203656915733,1,2,1,
21,-576451251785,1.7698134682111077,3.0260431136562014,4.176460909121205,3.41249316965759,1,2,1,
22,-576451251668,1.7790949827091955,3.0692984982687497,4.20093436531476,3.4547826823994474,1,2,1,
