seq,timestamp_ms,px_m,py_m,d1_m,d2_m,anchor1_id,anchor2_id,valid,reason_code
51,-576453550826,2.0973007336956524,3.392990191307597,4.2367,3.8942,1,2,1,
52,-576453550693,2.1396599391304343,3.3782276939395888,4.1991000000000005,3.9035,1,2,1,
53,-576453550565,2.099050461956522,3.3645309985805554,4.2132,3.8707,1,2,1,
54,-576453550435,2.107990781521739,3.3536236198035208,4.1991000000000005,3.866,1,2,1,
55,-576453550302,2.0997503532608697,3.3531252193389562,4.2038,3.8613,1,2,1,
56,-576453550172,2.153653842391305,3.347601694509425,4.1663,3.8848000000000003,1,2,1,
57,-576453550041,2.1649518206521736,3.368132188202464,4.1757,3.9082,1,2,1,
58,-576453549910,2.1569751032608697,3.362022775369296,4.1757,3.8988,1,2,1,
59,-576453549777,2.114908261956522,3.3769137268494576,4.2132,3.8895,1,2,1,
60,-576453549646,2.1109366086956527,3.373823851501103,4.2132,3.8848000000000003,1,2,1,
61,-576453549507,2.0789623043478263,3.3546696972572527,4.2179,3.8519,1,2,1,
62,-576453549384,2.1247927706521743,3.3488684008178757,4.185,3.8707,1,2,1,
63,-576453549254,2.066788640217391,3.35099207734763,4.2226,3.8425,1,2,1,
64,-576453549123,2.111272147826087,3.3681260309667316,4.2085,3.8801,1,2,1,
65,-576453548992,2.1241505054347827,3.360285598154351,4.1944,3.8801,1,2,1,
66,-576453548855,2.0911503750000002,3.358316471279215,4.2132,3.8613,1,2,1,
67,-576453548732,2.107650440217391,3.359328965197463,4.2038,3.8707,1,2,1,
68,-576453548548,2.104388282608696,3.344812767448397,4.1944,3.8566000000000003,1,2,1,
69,-576453548446,2.104388282608696,3.344812767448397,-1.0,-1.0,1,2,0,1
70,-576453548241,2.1195365869565217,3.3686055827627364,4.2038,3.8848000000000003,1,2,1,
71,-576453548139,2.1491021478260866,3.3559628911671884,4.1757,3.8895,1,2,1,
72,-576453548036,2.11986252173913,3.362903772111958,4.1991000000000005,3.8801,1,2,1,
73,-576453547934,2.075870017391305,3.3401997028104673,4.2085,3.8379000000000003,1,2,1,
74,-576453547729,2.0954527652173915,3.3557232116113815,4.2085,3.8613,1,2,1,
75,-576453547627,2.0933242782608703,3.3898905029500264,4.2367,3.8895,1,2,1,
76,-576453547524,2.0684252173913045,3.328223391341413,4.2038,3.8238,1,2,1,
77,-576453547422,2.0684252173913045,3.328223391341413,-1.0,-1.0,1,2,0,1
78,-576453547319,2.105332835869565,3.327719705432929,4.180400000000001,3.8425,1,2,1,
79,-576453547115,2.1083311228260873,3.347915067294503,4.1944,3.8613,1,2,1,
80,-576453547012,2.0738927923913044,3.368642031636684,4.232,3.8613,1,2,1,
81,-576453546939,2.0793362608695656,3.3489658692394633,4.2132,3.8472000000000004,1,2,1,
83,-576453546641,2.082162033695652,3.3691850915812926,4.2273000000000005,3.866,1,2,1,
84,-576453546500,2.107650440217391,3.359328965197463,4.2038,3.8707,1,2,1,
85,-576453546397,2.0983505706521743,3.37592408313451,4.2226,3.8801,1,2,1,
86,-576453546192,2.1375084228260866,3.3410299173530387,4.171,3.8707,1,2,1,
87,-576453546157,2.0907908250000005,3.3640168815345253,4.2179,3.866,1,2,1,
88,-576453546026,2.0793362608695656,3.3489658692394633,4.2132,3.8472000000000004,1,2,1,
89,-576453545897,2.0840078054347826,3.340671554253608,4.2038,3.8425,1,2,1,
90,-576453545767,2.0551153793478263,3.3416464122741987,4.2226,3.8285,1,2,1,
91,-576453545579,2.0551153793478263,3.3416464122741987,-1.0,-1.0,1,2,0,1
92,-576453545476,2.087571886956522,3.3494986898285157,4.2085,3.8519,1,2,1,
93,-576453545271,2.111607686956522,3.3624250442504255,4.2038,3.8754000000000004,1,2,1,
94,-576453545169,2.0547127119565216,3.347350520298923,4.2273000000000005,3.8331999999999997,1,2,1,
95,-576453545067,2.0499836434782615,3.3556073874807404,4.2367,3.8379000000000003,1,2,1,
96,-576453544930,2.1390558869565215,3.3896163701640862,4.2085,3.9129,1,2,1,
97,-576453544759,2.098700516304348,3.3702291195224365,4.2179,3.8754000000000004,1,2,1,
98,-576453544704,2.103352852173913,3.3619323422568046,4.2085,3.8707,1,2,1,
99,-576453544572,2.072718003260869,3.3256419400799055,4.1991000000000005,3.8238,1,2,1,
100,-576453544447,2.0997503532608697,3.3531252193389562,4.2038,3.8613,1,2,1,
